Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|ANT06-05ub archaeonub archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEGAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEGub methanogenic archaeonub methanogenic archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Terrestrial Miscellaneous GpTMEG,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial groupub crenarchaeoteub crenarchaeoteub crenarchaeoteub crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial groupub thaumarchaeoteub thaumarchaeoteub thaumarchaeoteub thaumarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|FHMa11 terrestrial group,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Marine Group Iubububub,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Marine Group I,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGAmtAmtAmtAmt,0,0,90,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG|Unknown Order|Unknown Family|Candidatus Nitrososphaeraub archaeon,0,0,0,0,0,0,0,36,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG|Unknown Order|Unknown Family|Candidatus Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGub crenarchaeoteub crenarchaeoteub crenarchaeoteub crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCGub euryarchaeoteub euryarchaeoteub euryarchaeoteub euryarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|Soil Crenarchaeotic GroupSCG,121,245,0,44,123,116,237,365,75,267,393,123
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1|Unknown Order|Unknown Family|Candidatus Nitrosotaleaub archaeon,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1ub thaumarchaeoteub thaumarchaeoteub thaumarchaeoteub thaumarchaeote,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Thaumarchaeota|South African Gold Mine Gp 1SAGMCG-1,0,0,0,0,0,0,0,0,0,0,0,0
Archaea|Woesearchaeota DHVEG-6,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Acidobacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Edaphobacterub,0,0,0,0,27,0,0,0,13,0,0,0
Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae Subgroup 1|Edaphobacter,0,0,0,0,0,0,0,0,0,0,52,0
